고유번호,언어,상호명,신주소,전화번호,웹사이트,운영시간,운영요일,휴무일,교통정보,,,,
23564,ko,양재 R&CD 혁신허브,06764 서울 서초구 태봉로 114 (우면동 한국교원단체총연합) ,02-2135-6818,http://www.ai-yangjae.kr/,09:00~18:00,월~금,주말 및 공휴일,3호선 양재역 11번 출구 도보 15~20분 신분당선 양재시민의숲역 5번 출구 20~30분 4호선 선바위역 1번 출구 15~20분 ,,,,
11843,ko,온고푸드커뮤니케이션,03133 서울 종로구 삼일대로30길 12 (낙원동 서울조리전문학교) 3층,02-3446-1607,http://www.ongofood.com/,09:00 - 18:00,월~금,주말 공휴일 휴무,135호선 종로3가역 5번 출구 ,,,,
1676,ko,아름지기,03044 서울특별시 종로구 효자로 17  (통의동) ,02-741-8373,http://www.arumjigi.org,AM 10:00 ~ PM 05:00  ,월~금,주말 공휴일,3호선 경복궁 3번 4번 출구 ,,,,
1995,ko,궁중음식연구원,03051 서울특별시 종로구 창덕궁5길 16 궁중음식연구원 (원서동) ,02-3673-1122,http://www.food.co.kr,AM 10:00 ~ PM 01:00 (오전반) PM 02:00 ~ PM 05:00 (오후반)  강좌별로 이용시간이 다름,월화수목금,주말,3호선 안국 2번 출구 1번 버스 탑승 후 빨래터 앞 하차 1호선 종각 YMCA 출구 1번 버스 탑승 후 빨래터 앞 하차  ,,,,
2930,ko,KT square (KT스퀘어),03154 서울 종로구 세종대로 178 (세종로 KT 광화문 빌딩 West) ,1577-5599,https://corp.kt.com/html/promote/culture/culture.html?menuid=trigger_square,평일 09:00 ~ 20:00,월~금,주말,3호선 경복궁 6번출구 세종로방향 세종문화회관 맞은편 KT광화문지사 5호선 광화문 2번출구 KT광화문지사 1호선 종각 1번출구 광화문방면 광화문4거리에서 우회전 KT광화문지사,,,,
11040,ko,광진교 8번가,04770  서울 성동구 강변북로 257 (성수동 1가)  ,02-476-0722,http://www.riverview8.co.kr,평일 10:00~22:00,,주말,지하철 5호선 광나루역 2번출구 도보 15분,,,,
12327,ko,롤링코리아,04001 서울 마포구 월드컵북로 19 (서교동 대상빌딩) 3층,02-322-1515,https://www.rollingkorea.com/en/,09:00~18:00,,주말,2호선 홍대입구역 1번 출구 ,,,,
27812,ko,가원공방,03138 서울 종로구 돈화문로6나길 45 (봉익동) ,02-814-0250,http://www.gawoncraft.co.kr/,10:30 ~ 18:30,,주말,,,,,
1546,ko,예지원,04605 서울특별시 중구 장충단로 72 (장충동2가) ,02-2253-2211,http://www.yejiwon.or.kr,※교육별 수강시간이 상이하므로 홈페이지 참조 ,,일요일·공휴일 휴관,3호선 동대입구 2번 출구 420번 버스 탑승 후 국립극장 앞 하차 2호선 동대문 역사 문화공원 8번 출구 420번 버스 탑승 후 국립극장 앞 하차 ,,,,
1572,ko,DMC 홍보관,03926 서울특별시 마포구 월드컵북로 366 (상암동) ,02-309-7067,http://dmc.seoul.kr/cntntsService.do?menuId=MNU_0000000000000082,AM 10:00 ~ PM 05:00,월~토,일요일·공휴일,6호선 디지털미디어시티 9번 출구 도보 10분 ,,,,
23602,ko,서울시50플러스 남부캠퍼스,08350 서울 구로구 오류로 36-25 (오류동 50플러스 남부캠퍼스) ,02-460-5350,http://50plus.or.kr/ssc,주중 : 09:00~19:00 토요일: 09:00~17:00,월~토,일요일 공휴일,7호선 천왕역 3번출구 도보 5분,,,,
1484,ko,LG사이언스홀,07336 서울 영등포구 여의대로 128 ,02-3773-1053,http://www.lgsh.co.kr,학기중 관람시간과 방학중 관람시간이 다르고 개인과 단체입장할 수 있는 시간이 다르니 확인바람 ,월~토,일요일 공휴일,5호선 여의나루 1번 출구 도보 10분 ,,,,
2052,ko,하늘물빛(전통 천연 염색 연구소) ,03052 서울 종로구 북촌로15길 48 ,,https://naturaldye.co.kr/login.do,평일 10:00 - 18:00 토요일 10:00 - 14:00,월~토,일요일 공휴일,3호선 안국역 2번 출구,,,,
11776,ko,성곽길 예술놀이터 꼬레아트(Core Art),04602 서울 중구 동호로17길 173 (신당동) ,02-734-5959,http://blog.naver.com/haera5959,9:00~18:00 (최소 3일전 예약),월~토,일요일 공휴일,3호선 동대입구 5번출구 도보 18분 3 6호선 약수역 8번 출구 6호선 버티고개 1번 출구 도보 10분,,,,
10885,ko,스파더엘,06019 서울 강남구 선릉로153길 26 (신사동 성준빌딩) 5층,02-549-3949,http://www.spa-the-el.com,평일 11:00~21:00 토요일 11:00~19:00,월~토,일요일,분당선 압구정로데오역 5번 출구 ,,,,
23559,ko,서울혁신파크,03371 서울 은평구 통일로 684 (녹번동) ,02-389-7512~3,https://www.innovationpark.kr/,06:00 - 24:00,월~토,일요일,3호선 불광역 2번 출구 도보 4분 6호선 불광역 9번 출구 도보 8분,,,,
18894,ko,지형공방 홍벽헌　,03051 서울 종로구 창덕궁5길 10 (원서동) ,,,하절기 AM 10:00 ~ PM 06:00 동절기 AM 10:00 ~ PM 05:00 ,화~토,일 월,3호선 안국역 3번 출구,,,,
18888,ko,나전과 옻칠　　,03057 서울 종로구 계동4길 3 (계동) ,070-8860-9880　,https://blog.naver.com/krhg252017,11:00~17:00,월~토,일,3호선 안국역 2번 출구,,,,
18891,ko,심화숙 한지공방　,03057 서울 종로구 북촌로 50 3층 ,02-394-6533,,3월~11월 AM 10:00 ~ PM 06:00 11월~2월 AM 10:00 ~ PM 05:00(월요일·명절 당일 휴무),,월요일·명절 당일 휴무,지하철 3호선 안국 2번 출구에서 약 800m,,,,
18904,ko,옻칠 공방　,03060 서울 종로구 북촌로5길 19-12 (재동) ,02-735-5757　,,AM 11:00 ~ PM 05:00,,월요일 휴무,3호선 안국역 2번 출구,,,,
18903,ko,전통혼례보공방,03057 서울 종로구 계동6길 13 (계동) ,,,AM 10:00 ~ PM 05:00 ,,월요일 휴무,3호선 안국역 2번 출구,,,,
18914,ko,국악사랑,03056 서울 종로구 북촌로12길 5-12 (가회동) ,,,AM 10:00 ~ PM 05:00(월요일 휴관),화수목금토일,월요일 휴관,3호선 안국역 2번 출구,,,,
31055,ko,서울특별시교육청과학전시관 ,08799 서울 관악구 낙성대로 101 (봉천동 서울시과학전시관) ,02-881-3000,ssp.sen.go.kr,10:00 ~ 17:00,,월요일 법정공휴일 우천시 동절기(12~3월),2호선 낙성대역 4번 출구 ,,,,
24640,ko,한국의 집,04626 서울 중구 퇴계로36길 10 (필동2가 한국의집) ,02-2266-9101,https://www.chf.or.kr/kh,00:00 ~ 24:00 시설대관 09:00 ~ 19:30 전통문화체험 11:30 ~ 15:30 오찬 12:00 ~ 18:00 전통혼례 17:00 ~ 21:00 궁중한정식(만찬) 20:00 ~ 21:00 전통예술공연,화~일,월요일 공휴일 설날 및 추석 당일,3 4호선 충무로역 3번 출구에서 50m,,,,
23625,ko,장안평자동차산업종합정보센터,04808 서울 성동구 자동차시장1길 64 (용답동 장안평 자동차 종합정보센터) ,02-2213-1370,http://www.jac.or.kr/,09:00~18:00,화~일,월요일 공휴일 ,5호선 장한평역 6번 출구 도보 1분 ,,,,
11512,ko,티켓라운지 씬디,04048 서울 마포구 어울마당로 61 (서교동) ,02-322-2218,http://xindieticket.kr/,수요일 15:00 - 20:00 저녁시간 오후 5~6시 화 목~일 11:00~20:00 수요일 15:00~20:00,화~일,월요일 공휴일,6호선 상수역 1번 출구,,,,
22047,ko,주얼리복합문화공간 스페이스42,03134 서울 종로구 서순라길 83 (서울주얼리센터 제2관) ,02-1670-1420,https://space42.or.kr,10:00 - 19:00,화~일,월요일 공휴일,1호선 종로3가역 7번 출구 3호선 종로3가역 7번 출구 5호선 종로3가역 7번 출구,,,,
27192,ko,신촌 플레이버스,03789 서울 서대문구 연세로5길 11 (창천동 신촌플레이버스) ,02-330-1809,http://play.sdm.go.kr/,11:00~21:00,,월요일 공휴일,2호선 신촌역 2·3번 출구,,,,
23532,ko,SeMA 벙커 ,07327 서울 영등포구 의사당대로 지하 101 (여의도역) ,02-2124-8946,http://sema.seoul.go.kr/korean/index.jsp,11:00~19:00,화~일,-월요일 -1월 1일 ,5·9호선 여의도역 3번 출구에서 200m 직진 후 여의도 공원 앞 교차로에서 우회전하여 200m 직진(도보 7분),,,,
23629,ko,서울시립과학관,01792 서울 노원구 한글비석로 160 (하계동 서울시립과학관) ,02-970-4500,http://science.seoul.go.kr/,09:30 ~ 17:30,화~일,-월요일 (공휴일 겹칠시 화요일 휴관) -1월 1일 -설날 추석 당일,7호선 하계역 3번 출구 도보 15분,,,,
1696,ko,동숭아트센터,03084 서울 종로구 동숭길 122 (재단법인서울문화재단(대학로)) ,02-766-3390,http://www.dsartcenter.co.kr,AM 10:00 ~ PM 06:00  ,,월요일 (공연 및 상황에 따라 변경 가능),4호선 혜화 1번 출구,,,,
18899,ko,우리빛깔공방,03052 서울 종로구 북촌로11가길 14 (가회동) ,02-730-3044,,AM 10:30 ~ PM 05:00,연중 ,월요일 ,3호선 안국역 2번 출구,,,,
20193,ko,스튜디오 콘크리트,04417 서울 용산구 한남대로 162 (한남동) ,02-794-4095,http://www.studio-ccrt.com,11:00~20:00,화~일,월요일,지하철 6호선 한강진역 2번 출구에서 약 400m,,,,
29759,ko,중랑 청소년 체험의 숲 운영센터,02062 서울 중랑구 망우로87길 110 (망우동 캠핑장관리소) ,02-432-2567,http://www.joongrangsoop.com/forest/,09:00 - 17:00(프로그램별 상이),화~일,월요일,경의중앙선 양원역 2번 출,,,,
39724,ko,소전서림,06075 서울 강남구 영동대로138길 23 (청담동) 지하 1층 ,02-542-0804,https://www.instagram.com/sojeonseolim/,11:00 ~ 21:00 (화~토) 11:00 ~ 18:00 (일),화~일,월요일,7호선 청담역 14번 출구에서 404m,,,,
39725,ko,북파크라운지,04399 서울 용산구 이태원로 294 (한남동 블루스퀘어) 3층 북파크라운지,070-7770-0539,https://www.instagram.com/bookparklounge_official/,11:00 ~ 21:00,화~일,월요일,6호선 한강진역 2번 출구에서 12m,,,,
5332,ko,유니버설아트센터,04991 서울 광진구 천호대로 664 (유니버설아트센터) ,070-7124-1740,http://www.uac.co.kr,평일 10:00 - 16:00 주말 10:00 - 18:00,화~일,월요일,5호선 아차산 4번 출구  ,,,,
23761,ko,돈의문 박물관마을,03178 서울 종로구 송월길 14-3 (신문로2가 국도빌딩) ,02-739-6994,http://dmvillage.info/,10:00~19:00,화~일,월요일,5호선 서대문역 4번 출구,,,,
37879,ko,HYBE INSIGHT (하이브 뮤지엄),04389 서울 용산구 한강대로 42 (한강로3가 용산트레이드센터) 하이브 인사이트 지하 1 2층,,https://hybeinsight.com,11:00 ~ 21:00 (입장 마감 18:55),화~일,월요일,4호선 신용산역 2번 출구에서 569m,,,,
28278,ko,청계천 판잣집 체험관,04704 서울 성동구 청계천로 530 (마장동 청계천박물관) 청계천 박물관 앞,02-2290-7134,https://www.sisul.or.kr/open_content/cheonggye/enjoy/shack.jsp,10:00~19:00,화~일,월요일,2호선 용두역 5번 출구 5호선 마장역 1번 출구,,,,
27111,ko,평화문화진지,01318 서울 도봉구 마들로 932 (도봉동 평화문화진지) ,02-3494-1970,http://culturebunker.or.kr/,10:00~18:00,화~일,월요일,1·7호선 도봉산역 2번 출구  ,,,,
28334,ko,CGV 씨네 라이브러리,04536 서울 중구 퇴계로 123 (충무로2가 하이헤리엇) 10 11F,1544-1122,http://www.cgv.co.kr/theaters/?theaterCode=0105,평일 13:00~21:00 주말/공휴일 11:00~21:00,,월요일,4호선 명동역 7·8번 출구,,,,
37586,ko,스페이스 와디즈,04782 서울 성동구 연무장1길 7-1 (성수동2가) ,02-6213-3600,https://www.instagram.com/gonggan_wadiz/,11:00 ~ 20:00,,월요일,,,,,
11622,ko,서울에너지드림센터,03901 서울 마포구 증산로 14 (상암동 에너지 제로 하우스) ,02-3151-0562,http://www.seouledc.or.kr/,09:30 - 17:30,화~일,-월 -1월 1일 -명절연휴 -개관기념일 (12월 12일) ,,,,,
1422,ko,서울 무형문화재 교육전시장,03134 서울 종로구 율곡로10길 13 (권농동) ,02-742-6444,http://www.seoulmaster.com/,10:00 ~ 17:00,화~일,월,3호선 안국역 3번 출구 ,,,,
11772,ko,잠실카트체험장,05500 서울 송파구 올림픽로 25 (잠실동 서울종합운동장) ,02-420-3886,http://www.birel.kr/,10:00 - 18:00,화~일,월,2호선 종합운동장 5번 출구에서 약 800m  ,,,,
1951,ko,보라매 암벽등반장,07062 서울 동작구 보라매로5길 28 동작구민회관 ,,,10:00~22:00,화~일,월,,,,,
10316,ko,한국관광공사 서울센터 (K Style Hub),04521 서울 중구 청계천로 40 (다동 한국관광공사) ,02-729-9457,https://korean.visitkorea.or.kr/other/hub_01.html,2층,09:00~20:00 (연중무휴) 3층,오전 9시~오후 7시(평일) 오전 9시 ~오후 8시 (주말) 4층,오전 10시~오후 8시 5층,,,,
18916,ko,북촌문화센터,03059 서울 종로구 계동길 37 (계동) ,02-2133-1371 1372,http://hanok.seoul.go.kr/front/kor/exp/expCenter.do?tab=1,평일 AM 09:00 ~ PM 06:00 주말 AM 09:00 ~ PM 05:00,,연중무휴 (일요일은 강좌 없음),3호선 안국역 3번 출구,,,,
19552,ko,남산서울타워 한복문화 체험관,04340 서울 용산구 남산공원길 105 (용산동2가 YTN서울타워) ,02-772-9388,https://namsanhanbok.modoo.at,10:00~19:00 (입장마감 18:00),월화수목금토일,연중무휴,4호선 명동역 3번 출구,,,,
5375,ko,서울김치문화체험관,04537 서울 중구 명동8가길 47 (충무로2가) 동양빌딩 2층,02-318-7051,http://www.seoulkimchi.co.kr, 10:30 - 19:00,월~일,연중무휴,4호선 명동역 10번 출구,,,,
1891,ko,세븐럭 카지노(강남),06164 서울특별시 강남구 테헤란로87길 58  (삼성동) ,02-3466-6000 ,http://www.7luck.com,,월~일,연중무휴,2호선 삼성 56번 출구에서 도보 3분거리  ,,,,
28036,ko,봉일온천,08749 서울 관악구 은천로 28 (봉천동 봉일프라자) 3층,02-874-4900,http://www.bongilspa.co.kr/,00:00~24:00 ,월~일,연중무휴,2호선 봉천역 4번 출구 2호선 신림역 8번 출구,,,,
9576,ko,강변스파랜드 (Riverside Spa Land),05049 서울 광진구 구의강변로 45 (구의동 구의동 복합빌딩) 지하 2층,02-455-3737,http://ispaland.co.kr/,,월~일,연중무휴,2호선 강변역 4번출구 도보 4분  ,,,,
21299,ko,놀이똥산,03161 서울 종로구 인사동5길 41 (공평동 하나빌딩) 지하 1층,02-2034-0606,https://playpoop.com/,11:00 - 18:00 (입장마감 17:00),월~일,연중무휴,1호선 종각역 3번 출구,,,,
358,ko,세븐럭 카지노(강북 힐튼점) ,04637 서울 중구 소월로 50 (힐튼호텔) ,02-2021-6000,http://www.7luck.com,,월~일,연중무휴,1호선 서울역 8번 출구 도보 15분    4호선 회현역 4번 출구 도보 15분  ,,,,
3344,ko,테지움 서울,03121 서울 종로구 지봉로 19 (시즌빌딩) 지하 1층,1877-0279,,AM 08:30 ~ PM 07:00 (티켓발권은 PM 06:00 까지),월~일,연중무휴,1호선 동대문역 4번 출구    1호선 동묘앞역 6번 출구    6호선 동묘앞역 6번 출구  ,,,,
18889,ko,이소정 한복명장연구소,03061 서울 종로구 율곡로 3길 66-2 ,02-733-3007,https://blog.naver.com/dotoorak,AM 10:00 ~ PM 07:00 * 토요일 일요일 PM 9:30 까지 한복 대여 및 체험 가능,연중,연중무휴,3호선 안국역 2번 출구,,,,
34492,ko,스매싱볼 청담점,06014 서울 강남구 선릉로 818 (청담동 디자이너클럽) 스매싱볼 청담점,02-546-2231,http://www.smashingbowl.com/main/main.php,00:00~24:00 오전8시~12시(4시간)사이에는 기계점검시간이나 사전예약시에는 이용가능하십니다.,매일,연중무휴,,,,,
380,ko,명동실탄사격장,04537 서울 중구 명동8가길 27 선샤인빌딩3층,02-777-6604,http://www.koreashootingclub.com/gnuboard4/,평일 12:00 - 21:00  주말/공휴일 11:00 - 21:00  ,,연중무휴,4호선 명동역 89번 출구    ,,,,
9746,ko,스파레이,06524 서울 서초구 강남대로107길 5 (잠원동 크레신사옥) ,02-545-4002,http://www.spalei.co.kr/,24시간  ※ 매주 화요일 AM 9:00 ~ AM 10:00 정기점검,,연중무휴,3호선 신사역 5번 출구 도보 10분 ,,,,
28794,ko,성수연방,04784 서울 성동구 성수이로14길 14 (성수동2가) ,070-8866-0213,http://otdcorp.co.kr/our-brand/seongsuyeonbang/,10:00~22:00,,연중무휴,2호선 성수역 3번 출구,,,,
21295,ko,다이나믹 메이즈,03146 서울 종로구 인사동길 44 (관훈동 쌈지길) ,02-2034-0600,http://dynamicmaze.com/main/main.php#&slider1=2,11:00 - 18:00 (입장마감 17:00),,연중무휴,1호선 종로3가역 1번 출구  1호선 종각역 11번 출구  5호선 종로3가역  5번출구 ,,,,
28748,ko,한식문화관,04521 서울 중구 청계천로 40 (다동 한국관광공사) 서울센터 4층,02-6053-7177,http://www.hansik.or.kr/kr/html/htmlDetal.do?htmlId=23&menuId=41,10:00~20:00,,연중무휴,1호선 종각역 5번 출구 2호선 을지로입구역 2번 출구,,,,
28030,ko,라뜰리에,04563 서울 중구 장충단로13길 20 (을지로6가 현대시티타워) 11층 (Gate 4 이용),1522-7327,http://www.light-atelier.com,10:00-21:00 (매표소 마감 19:00),,연중무휴,1·호선 동대문역 8번 출구 2·4·5호선 동대문역사문화공원역 14번 출구,,,,
18881,ko,우리집 게스트하우스,03059 서울특별시 종로구 계동길 33-13 ,02-744-0536,https://www.facebook.com/wooriguest/,24시간,연중,없음,3호선 안국역 2번 출구,,,,
11905,ko,영화 '괴물' 조형물,07337 서울 영등포구 여의동로 330 (여의도동 한강사업본부 여의도안내센터) ,02-3780-0776,http://hangang.seoul.go.kr,주 야간 상시 이용가능,,없음,5호선 여의나루역 2 3번 출구 ,,,,
6568,ko,서울글로벌문화체험센터,04536 서울특별시 중구 명동8길 27 (명동2가) 5층,02-3789-7961,http://seoulculturalcenter.com,AM 10:00 ~ PM 07:00,월~일,신정 설날 추석 당일 휴무,4호선 명동역 6번 출구 도보 3분 2호선 을지로입구역 6번 출구 도보 10분,,,,
18897,ko,금박연,03056 서울 종로구 북촌로12길 24-12 (가회동) ,02-730-2067,http://kumbakyeon.modoo.at/,평일 10:00 - 17:00 토요일 09:00 - 15:00,,수 일,3호선 안국역 2번 출구,,,,
12112,ko,한복&웨딩카페,04564 서울 중구 을지로41길 28 (임성빌딩) ,070-7569-0652,https://dongdaemunhanbok.modoo.at/,10:00~18:00 ,,수,4호선 동대문 역사 문화공원 13번 출구에서 약 150m 5호선 동대문 역사 문화공원 13번 출구에서 약 150m 2호선 동대문 역사 문화공원 13번 출구에서 약 150m,,,,
6367,ko,쌈지길 체험공방,03146 서울특별시 종로구 인사동길 44 지하 1층 (관훈동) ,02-736-0088,https://www.ssamzigil.com/,AM 10:30 ~ PM 08:30,월~일,설날 추석 당일 휴관,3호선 안국 6번 출구  1호선 종각 3번 출구 ,,,,
15338,ko,1898 명동성당 ,04537 서울 중구 명동길 74 (명동2가 명동성당) ,02-774-1784,https://www.mdsd.or.kr/main/,성당사무실 화   ~   금 | 09:00 ~ 20:30 토  요  일 | 09:00 ~ 20:00 일  요  일 | 09:00 ~ 21:00 ,,설날 추석 당일 (성당사무실: 월요일 휴무),2호선 을지로입구역 5번 출구    3호선 을지로3가역 12번 출구 4호선 명동역 9번 출구   ,,,,
18902,ko,전통공예체험관,03056 서울 종로구 북촌로12길 24-5 (가회동) ,02-741-2148,http://tour.jongno.go.kr/tour/main/contents.do?menuNo=110553,3~11월 AM 10:00 ~ PM 06:00 11~2월 AM 10:00 ~ PM 05:00 ,연중  ,설날 및 추석 당일  ,3호선 안국역 2번 출구,,,,
23571,ko,서울창업허브,04147 서울 마포구 백범로31길 21 (공덕동 서울창업허브 서울복지타운) ,02-2115-2040,http://www.seoulstartuphub.com/,평일 : 09:00~21:00 주말 및 공휴일 : 09:00~18:00,상시 운영,설/추석 당일 및 센터 지정 휴무일,5·6·경의중앙·공항철도선 공덕역 2번 출구 도보 10분,,,,
20076,ko,삼해소주가,03051 서울 종로구 창덕궁길 142 (원서동) 101호,,https://samhaesoju.kr/,12:00 - 18:00,,설 추석 연휴 ,3호선 안국역 2번 출구,,,,
1183,ko,락고재,03056 서울 종로구 계동길 49-23 (계동) ,02-742-3410,http://www.rkj.co.kr,체크인 시간 : 오후 3시 이후 체크아웃 시간 : 오전 11시 이전,월~일,설 추석 연휴,3호선 안국역 2번 출구 도보 15분,,,,
40172,ko,교보문고 광화문점 ,03154 서울 종로구 종로 1 (종로1가 교보생명빌딩) 지하 1층,02-1544-1900,https://www.kyobobook.co.kr/storen/MainStore.laf?SITE=01,09:30 ~ 22:00,매일,설 추석 (당일),12호선 시청역 4번 출구 500m 5호선 광화문역 4번 출구 나오기 직전 오른쪽 출입구 1호선 종각역 1번 출구 500m,,,,
19558,ko,템플스테이 통합정보센터,03145 서울 종로구 우정국로 56 (견지동) 템플스테이 종합정보센터 1층,02-2031-2000,http://www.kbuddhism.com/ux.asp?dp=05_01,월~토 09:00 - 19:00  일요일 09:00 - 18:00 ,월~일,법정 공휴일,3호선 안국역 6번 출구 1호선 종각역 3-1번 출구,,,,
5580,ko,이종남 자연염색연구소,03055 서울특별시 종로구 북촌로9길 3-2 (가회동) ,02-762-5310,http://naturalcolor.modoo.at,10:00 - 17:00,월~일,명절외 연중휴무,3호선 안국역 2번 출구 2번 버스 돈미약국 앞 하차,,,,
15858,ko,이스타아카데미,08000 서울 양천구 오목로 321-1 (목동 서경빌딩) ,02-2653-1255,http://estaracademy.co.kr/ ,11:00 ~ 22:00,월~일,명절 공휴일,지하철 5호선 오목교역 1번출구 도보 40m,,,,
12596,ko,사단법인 전통문화원,03036 서울 종로구 자하문로13길 4-9 (통인동) ,02-722-8254,http://www.koreaculture.or.kr,평일 09:00~18:00 토요일 09:00~14:00,,매주 일요일 휴무,3호선 경복궁 2번 출구에서 약500m,,,,
18898,ko,동림매듭공방,03056 서울 종로구 북촌로12길 10 (가회동) ,02-3673-2778,http://www.shimyoungmi.com/,10:00~18:00　 ,화~일,매주 월요일 설날 및 추석당일 ,3호선 안국역 2번 출구,,,,
28029,ko,사운즈 한남,04401 서울 용산구 대사관로 35 (한남동) ,02-511-7443,https://www.instagram.com/sounds.hannam/,09:00 - 22:00(매장별 상이),월~일,매장별 상이,한남역 1번 출구  이태원역 3번 출구,,,,
15855,ko,여의도 KBS,07235 서울 영등포구 여의공원로 13 (여의도동 한국방송공사) ,02-781-1000,http://office.kbs.co.kr/kbson/,견학 09:30~17:00 (17:00까지 입장),월~일,-매월 첫째주 월요일  -1월 1일  -설날 추석 연휴,지하철 9호선 국회의사당역 4번출구에서 도보 3분,,,,
