역이름,lat,lng,호선
인천대공원역,37.44847,126.75284,인천이호선
운연역,37.43964,126.75961,인천이호선
탑석역,37.73348,127.08889,의정부경전철
송산역,37.73727,127.0872,의정부경전철
어룡역,37.74268,127.08518,의정부경전철
곤제역,37.75053,127.08381,의정부경전철
효자역,37.75398,127.07721,의정부경전철
경기도청북부청사역,37.75076,127.0716,의정부경전철
새말역,37.74883,127.06375,의정부경전철
동오역,37.74525,127.05698,의정부경전철
의정부중앙역,37.74367,127.04965,의정부경전철
흥선역,37.74328,127.03717,의정부경전철
의정부시청역,37.73922,127.03483,의정부경전철
경전철의정부역,37.73726,127.04329,의정부경전철
범골역,37.72879,127.04365,의정부경전철
회룡역,37.7238,127.04728,의정부경전철
발곡역,37.72714,127.05295,의정부경전철
당고개역,37.67021,127.07905,4호선
상계역,37.66071,127.07342,4호선
노원역,37.65634,127.06344,4호선
창동역,37.65332,127.04764,4호선
쌍문역,37.64853,127.03465,4호선
수유역,37.63787,127.02549,4호선
미아역,37.62664,127.02603,4호선
미아사거리역,37.61327,127.03008,4호선
길음역,37.60338,127.02505,4호선
성신여대입구역,37.59296,127.01712,4호선
한성대입구역,37.5884,127.006,4호선
혜화역,37.58203,127.00192,4호선
동대문역,37.57166,127.01062,4호선
동대문역사문화공원역,37.56565,127.00899,4호선
충무로역,37.56139,126.99414,4호선
명동역,37.56096,126.9864,4호선
회현역,37.55876,126.97843,4호선
서울역,37.55332,126.96974,4호선
숙대입구역,37.5446,126.97212,4호선
삼각지역,37.53443,126.97291,4호선
신용산역,37.52926,126.96796,4호선
이촌역,37.52245,126.97333,4호선
동작역,37.50297,126.9803,4호선
총신대입구역,37.48679,126.9822,4호선
사당역,37.47655,126.98155,4호선
남태령역,37.46425,126.98908,4호선
청량리역,37.58072,127.0485,수인분당선
왕십리역,37.56126,127.03708,수인분당선
서울숲역,37.54363,127.04474,수인분당선
압구정로데오역,37.52751,127.04059,수인분당선
강남구청역,37.5172,127.04129,수인분당선
선정릉역,37.51093,127.04361,수인분당선
선릉역,37.50449,127.04895,수인분당선
한티역,37.49627,127.0529,수인분당선
도곡역,37.49098,127.0555,수인분당선
구룡역,37.48703,127.05947,수인분당선
개포동역,37.48913,127.0661,수인분당선
대모산입구역,37.49154,127.07307,수인분당선
수서역,37.48528,127.10445,수인분당선
복정역,37.47074,127.1267,수인분당선
가천대역,37.44856,127.12669,수인분당선
태평역,37.43978,127.12773,수인분당선
모란역,37.43403,127.12996,수인분당선
야탑역,37.41136,127.12872,수인분당선
이매역,37.39471,127.1273,수인분당선
서현역,37.385,127.12342,수인분당선
수내역,37.37847,127.11428,수인분당선
정자역,37.36617,127.10808,수인분당선
미금역,37.35007,127.109,수인분당선
오리역,37.33982,127.10894,수인분당선
죽전역,37.32438,127.1075,수인분당선
보정역,37.31277,127.10832,수인분당선
구성역,37.29897,127.10568,수인분당선
신갈역,37.28613,127.11128,수인분당선
기흥역,37.27544,127.11704,수인분당선
상갈역,37.26181,127.10872,수인분당선
청명역,37.25953,127.07896,수인분당선
영통역,37.25149,127.07133,수인분당선
망포역,37.24582,127.05685,수인분당선
매탄권선역,37.2525,127.0408,수인분당선
수원시청역,37.26191,127.03084,수인분당선
매교역,37.26552,127.0159,수인분당선
수원역,37.26579,127.00009,수인분당선
고색역,37.24973,126.98029,수인분당선
오목전역,37.24354,126.96411,수인분당선
어천역,37.25014,126.90895,수인분당선
야목역,37.2612,126.88409,수인분당선
사리역,37.29106,126.85718,수인분당선
한대앞역,37.30976,126.85367,수인분당선
중앙역,37.31601,126.8385,수인분당선
고잔역,37.3168,126.82302,수인분당선
초지역,37.32066,126.80595,수인분당선
안산역,37.32701,126.78887,수인분당선
신길온천역,37.33762,126.76704,수인분당선
정왕역,37.35181,126.74291,수인분당선
오이도역,37.36169,126.73839,수인분당선
달월역,37.38002,126.74539,수인분당선
월곶역,37.39181,126.74271,수인분당선
소래포구역,37.40093,126.73348,수인분당선
인천논현역,37.40065,126.72255,수인분당선
호구포역,37.40163,126.70868,수인분당선
남동인더스파크역,37.40774,126.69521,수인분당선
원인재역,37.41237,126.68788,수인분당선
연수역,37.41791,126.67875,수인분당선
송도역,37.42995,126.65468,수인분당선
인하대역,37.44832,126.64975,수인분당선
숭의역,37.46079,126.63839,수인분당선
신포역,37.46844,126.62452,수인분당선
인천역,37.47615,126.61682,수인분당선
청량리역,37.58072,127.0485,경춘선
회기역,37.58978,127.05804,경춘선
중랑역,37.59483,127.07566,경춘선
상봉역,37.5967,127.08574,경춘선
망우역,37.59929,127.09236,경춘선
신내역,37.61249,127.10427,경춘선
갈매역,37.63407,127.11474,경춘선
별내역,37.64205,127.12697,경춘선
퇴계원역,37.64825,127.14352,경춘선
사릉역,37.65111,127.17691,경춘선
금곡역,37.63734,127.20752,경춘선
평내호평역,37.6532,127.24443,경춘선
천마산역,37.65922,127.28505,경춘선
마석역,37.65277,127.31168,경춘선
대성리역,37.68398,127.37969,경춘선
청평역,37.7355,127.4266,경춘선
상천역,37.77017,127.4545,경춘선
가평역,37.81451,127.51073,경춘선
굴봉산역,37.83206,127.55777,경춘선
백양리역,37.83079,127.58932,경춘선
강촌역,37.80571,127.63413,경춘선
김유정역,37.81844,127.71431,경춘선
남춘천역,37.86404,127.72381,경춘선
춘천역,37.8845,127.71669,경춘선
광운대역,37.62383,127.06169,경춘선_1
상봉역,37.5967,127.08574,경춘선_1
선바위역,37.45174,127.00222,4호선
경마공원역,37.44396,127.00782,4호선
대공원역,37.43604,127.00673,4호선
과천역,37.43287,126.99661,4호선
정부과천청사역,37.42649,126.98985,4호선
인덕원역,37.40148,126.97667,4호선
평촌역,37.39423,126.96379,4호선
범계역,37.38978,126.95077,4호선
금정역,37.37246,126.94346,4호선
산본역,37.35802,126.93304,4호선
수리산역,37.35055,126.92562,4호선
대야미역,37.32797,126.91689,4호선
반월역,37.31237,126.90382,4호선
상록수역,37.30285,126.86659,4호선
한대앞역,37.30976,126.85367,4호선
중앙역,37.31601,126.8385,4호선
고잔역,37.3168,126.82302,4호선
초지역,37.32066,126.80595,4호선
안산역,37.32701,126.78887,4호선
신길온천역,37.33762,126.76704,4호선
정왕역,37.35181,126.74291,4호선
오이도역,37.36169,126.73839,4호선
판교역,37.39476,127.11119,경강선
이매역,37.39471,127.1273,경강선
삼동역,37.40868,127.20336,경강선
경기광주역,37.39894,127.25327,경강선
초월역,37.37337,127.29991,경강선
곤지암역,37.35054,127.34625,경강선
신둔도예촌역,37.31561,127.40522,경강선
이천역,37.26422,127.44215,경강선
부발역,37.26039,127.49031,경강선
세종대왕릉역,37.29362,127.57064,경강선
여주역,37.28286,127.62852,경강선
방화역,37.57759,126.8128,5호선
개화산역,37.57253,126.80681,5호선
김포공항역,37.56195,126.80191,5호선
송정역,37.56115,126.81241,5호선
마곡역,37.56022,126.82468,5호선
발산역,37.55867,126.83773,5호선
우장산역,37.54881,126.83632,5호선
화곡역,37.54164,126.84043,5호선
까치산역,37.53223,126.84643,5호선
신정역,37.52501,126.85608,5호선
목동역,37.52612,126.86461,5호선
오목교역,37.52453,126.87529,5호선
양평역,37.52557,126.88642,5호선
영등포구청역,37.52583,126.89667,5호선
영등포시장역,37.5227,126.90518,5호선
신길역,37.51678,126.91835,5호선
여의도역,37.52117,126.92464,5호선
여의나루역,37.52714,126.93298,5호선
마포역,37.53954,126.94585,5호선
공덕역,37.54453,126.95143,5호선
애오개역,37.5534,126.95666,5호선
충정로역,37.55975,126.96448,5호선
서대문역,37.56575,126.96663,5호선
광화문역,37.57164,126.97641,5호선
종로3가역,37.57042,126.99214,5호선
을지로4가역,37.56664,126.99762,5호선
동대문역사문화공원역,37.56565,127.00899,5호선
청구역,37.5602,127.01392,5호선
신금호역,37.55447,127.02048,5호선
행당역,37.55735,127.02949,5호선
왕십리역,37.56126,127.03708,5호선
마장역,37.56612,127.04297,5호선
답십리역,37.56697,127.05254,5호선
장한평역,37.56159,127.0637,5호선
군자역,37.55715,127.07949,5호선
아차산역,37.55224,127.08956,5호선
광나루역,37.54529,127.10352,5호선
천호역,37.5385,127.12392,5호선
강동역,37.53587,127.13238,5호선
길동역,37.53781,127.14001,5호선
굽은다리역,37.5455,127.14287,5호선
명일역,37.55139,127.14404,5호선
고덕역,37.55504,127.15416,5호선
상일동역,37.55666,127.16589,5호선
강일역,37.55748,127.17571,5호선
미사역,37.56311,127.19293,5호선
하남풍산역,37.55206,127.20388,5호선
하남시청역,37.54197,127.2063,5호선
하남검단산역,37.53983,127.2231,5호선
강동역,37.53587,127.13238,5호선_1
둔촌동역,37.52765,127.13621,5호선_1
올림픽공원역,37.51632,127.13096,5호선_1
방이역,37.50874,127.12609,5호선_1
오금역,37.50213,127.12793,5호선_1
개롱역,37.49796,127.13507,5호선_1
거여역,37.49332,127.14377,5호선_1
마천역,37.49503,127.15284,5호선_1
응암역,37.59848,126.91552,6호선
역촌역,37.60622,126.92283,6호선
불광역,37.61004,126.9303,6호선
독바위역,37.61841,126.93304,6호선
연신내역,37.61919,126.9211,6호선
구산역,37.61124,126.91725,6호선
응암역,37.59848,126.91552,6호선
새절역,37.59086,126.91356,6호선
증산역,37.58374,126.90947,6호선
디지털미디어시티역,37.576,126.90126,6호선
월드컵경기장역,37.56962,126.8991,6호선
마포구청역,37.56348,126.90341,6호선
망원역,37.55608,126.91009,6호선
합정역,37.5499,126.91445,6호선
상수역,37.54776,126.92242,6호선
광흥창역,37.54748,126.93201,6호선
대흥역,37.54763,126.94247,6호선
공덕역,37.54453,126.95143,6호선
효창공원앞역,37.53929,126.96139,6호선
삼각지역,37.53443,126.97291,6호선
녹사평역,37.5347,126.98654,6호선
이태원역,37.53451,126.99432,6호선
한강진역,37.53979,127.00174,6호선
버티고개역,37.54782,127.00672,6호선
약수역,37.55449,127.01089,6호선
청구역,37.5602,127.01392,6호선
신당역,37.56566,127.01947,6호선
동묘앞역,37.57321,127.01635,6호선
창신역,37.57941,127.01528,6호선
보문역,37.58554,127.01999,6호선
안암역,37.58629,127.02923,6호선
고려대역,37.59044,127.0363,6호선
월곡역,37.6018,127.04145,6호선
상월곡역,37.60654,127.04881,6호선
돌곶이역,37.61054,127.05642,6호선
석계역,37.615,127.06567,6호선
태릉입구역,37.61846,127.07539,6호선
화랑대역,37.61984,127.08353,6호선
봉화산역,37.61735,127.09136,6호선
신내역,37.61249,127.10427,6호선
장암역,37.69995,127.05282,7호선
도봉산역,37.68956,127.04605,7호선
수락산역,37.67788,127.05534,7호선
마들역,37.66519,127.05769,7호선
노원역,37.65634,127.06344,7호선
중계역,37.64508,127.06411,7호선
하계역,37.63646,127.06798,7호선
공릉역,37.62554,127.07302,7호선
태릉입구역,37.61846,127.07539,7호선
먹골역,37.61062,127.07776,7호선
중화역,37.60254,127.07929,7호선
상봉역,37.5967,127.08574,7호선
면목역,37.5887,127.0875,7호선
사가정역,37.58093,127.08849,7호선
용마산역,37.5737,127.08676,7호선
중곡역,37.56587,127.08426,7호선
군자역,37.55715,127.07949,7호선
어린이대공원역,37.54794,127.07464,7호선
건대입구역,37.5404,127.0692,7호선
뚝섬유원지역,37.53155,127.06677,7호선
청담역,37.51945,127.05371,7호선
강남구청역,37.5172,127.04129,7호선
학동역,37.51436,127.0319,7호선
논현역,37.51119,127.02165,7호선
반포역,37.50814,127.01158,7호선
고속터미널역,37.50454,127.00513,7호선
내방역,37.48765,126.99358,7호선
이수역,37.48679,126.9822,7호선
남성역,37.48479,126.9709,7호선
숭실대입구역,37.49631,126.95361,7호선
상도역,37.50285,126.94791,7호선
장승배기역,37.50488,126.93906,7호선
신대방삼거리역,37.49974,126.92821,7호선
보라매역,37.49992,126.92059,7호선
신풍역,37.50011,126.90973,7호선
대림역,37.4933,126.89493,7호선
남구로역,37.48699,126.88797,7호선
가산디지털단지역,37.48039,126.88264,7호선
철산역,37.47619,126.8682,7호선
광명사거리역,37.47929,126.85486,7호선
천왕역,37.48684,126.83858,7호선
온수역,37.49196,126.82383,7호선
까치울역,37.50621,126.81133,7호선
부천종합운동장역,37.50541,126.79722,7호선
춘의역,37.50368,126.787,7호선
신중동역,37.50294,126.77689,7호선
부천시청역,37.50463,126.76406,7호선
상동역,37.50578,126.75317,7호선
삼산체육관역,37.50649,126.74141,7호선
굴포천역,37.50703,126.73134,7호선
부평구청역,37.50742,126.72143,7호선
산곡역,37.50869,126.703,7호선
석남역,37.50632,126.67492,7호선
암사역,37.55013,127.12754,8호선
천호역,37.5385,127.12392,8호선
강동구청역,37.53019,127.12044,8호선
몽촌토성역,37.5178,127.11284,8호선
잠실역,37.51331,127.10022,8호선
석촌역,37.50541,127.10699,8호선
송파역,37.49971,127.11218,8호선
가락시장역,37.49309,127.11826,8호선
문정역,37.48602,127.12248,8호선
장지역,37.47863,127.12617,8호선
복정역,37.47074,127.1267,8호선
남위례역,37.4629,127.13905,8호선
산성역,37.4568,127.15007,8호선
남한산성입구역,37.45167,127.15987,8호선
단대오거리역,37.44502,127.15676,8호선
신흥역,37.44091,127.14753,8호선
수진역,37.43737,127.14052,8호선
모란역,37.43403,127.12996,8호선
계양역,37.57177,126.73627,인천일호선
귤현역,37.56628,126.74267,인천일호선
박촌역,37.55366,126.74505,인천일호선
임학역,37.54499,126.73863,인천일호선
계산역,37.54329,126.72773,인천일호선
경인교대입구역,37.53811,126.72261,인천일호선
작전역,37.53025,126.72255,인천일호선
갈산역,37.51711,126.72153,인천일호선
부평구청역,37.50742,126.72143,인천일호선
부평시장역,37.49836,126.72228,인천일호선
부평역,37.48944,126.72433,인천일호선
동수역,37.4855,126.7186,인천일호선
부평삼거리역,37.47782,126.71028,인천일호선
간석오거리역,37.46708,126.7079,인천일호선
인천시청역,37.45773,126.70222,인천일호선
예술회관역,37.44852,126.7009,인천일호선
인천터미널역,37.44192,126.69969,인천일호선
문학경기장역,37.43463,126.69845,인천일호선
선학역,37.42694,126.69891,인천일호선
신연수역,37.4181,126.69402,인천일호선
원인재역,37.41237,126.68788,인천일호선
동춘역,37.40457,126.68084,인천일호선
동막역,37.39793,126.67343,인천일호선
캠퍼스타운역,37.38844,126.66221,인천일호선
테크노파크역,37.38228,126.65629,인천일호선
지식정보단지역,37.37749,126.64586,인천일호선
인천대입구역,37.38619,126.63952,인천일호선
센트럴파크역,37.39285,126.63497,인천일호선
국제업무지구역,37.39964,126.63053,인천일호선
송도달빛축제공원역,37.40726,126.62586,인천일호선
개화역,37.57834,126.79688,9호선
김포공항역,37.56195,126.80191,9호선
공항시장역,37.56367,126.81059,9호선
신방화역,37.56749,126.81722,9호선
마곡나루역,37.56671,126.82741,9호선
양천향교역,37.56806,126.84196,9호선
가양역,37.56143,126.8544,9호선
증미역,37.55812,126.86063,9호선
등촌역,37.55072,126.86556,9호선
염창역,37.54696,126.87487,9호선
신목동역,37.54427,126.88309,9호선
선유도역,37.53815,126.89332,9호선
당산역,37.53477,126.90261,9호선
국회의사당역,37.52814,126.91782,9호선
여의도역,37.52117,126.92464,9호선
샛강역,37.51737,126.92838,9호선
노량진역,37.51357,126.94089,9호선
노들역,37.51266,126.95308,9호선
흑석역,37.50917,126.96344,9호선
동작역,37.50297,126.9803,9호선
구반포역,37.50142,126.98745,9호선
신반포역,37.50349,126.99606,9호선
고속터미널역,37.50454,127.00513,9호선
사평역,37.50423,127.01527,9호선
신논현역,37.50481,127.02547,9호선
언주역,37.50733,127.03395,9호선
선정릉역,37.51093,127.04361,9호선
삼성중앙역,37.51296,127.05303,9호선
봉은사역,37.51424,127.06022,9호선
종합운동장역,37.51113,127.07384,9호선
삼전역,37.50454,127.08736,9호선
석촌고분역,37.50246,127.09649,9호선
석촌역,37.50541,127.10699,9호선
송파나루역,37.51101,127.11265,9호선
한성백제역,37.51652,127.11644,9호선
올림픽공원역,37.51632,127.13096,9호선
둔촌오륜역,37.5194,127.13864,9호선
중앙보훈병원역,37.5284,127.14841,9호선
인천공항2터미널역,37.46878,126.43364,공항철도
인천공항1터미널역,37.44752,126.45258,공항철도
공항화물청사역,37.45906,126.4775,공항철도
운서역,37.49281,126.49373,공항철도
영종역,37.51223,126.52513,공항철도
청라국제도시역,37.55645,126.62464,공항철도
검암역,37.56925,126.67364,공항철도
계양역,37.57177,126.73627,공항철도
김포공항역,37.56195,126.80191,공항철도
마곡나루역,37.56671,126.82741,공항철도
디지털미디어시티역,37.576,126.90126,공항철도
홍대입구역,37.55686,126.92376,공항철도
공덕역,37.54453,126.95143,공항철도
서울역,37.55332,126.96974,공항철도
강남역,37.49809,127.02798,신분당선
양재역,37.48457,127.03415,신분당선
양재시민의숲역,37.47012,127.03846,신분당선
청계산입구역,37.44834,127.05472,신분당선
판교역,37.39476,127.11119,신분당선
정자역,37.36617,127.10808,신분당선
미금역,37.35007,127.109,신분당선
동천역,37.33782,127.10285,신분당선
수지구청역,37.32248,127.09466,신분당선
